Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
700,Antoine Roussel\roussan01,28,DAL,LW,71,800,723,52.5,1.3,559,510,52.3,0.7,7.1,92.6,99.7,41.7,58.3,12:23,11:20,16,22,3.8,167,50.3
701,Carter Rowney\rowneca01,28,PIT,RW,44,261,307,46.0,-6.4,189,220,46.2,-7.0,4.3,87.3,91.6,24.7,75.3,9:21,7:03,5,6,-2.1,43,48.8
702,Kevin Roy\royke01,24,ANA,LW,25,250,319,43.9,-3.2,184,246,42.8,-4.4,8.9,95.1,104.0,47.0,53.0,13:39,12:21,13,7,-3.2,53,49.1
703,Chad Ruhwedel\ruhwech01,27,PIT,D,43,660,600,52.4,-1.7,512,449,53.3,-2.0,4.8,91.9,96.6,56.5,43.5,15:46,14:52,11,9,2.2,133,49.6
704,Kris Russell\russekr01,30,EDM,D,77,1231,1306,48.5,-3.7,910,922,49.7,-3.1,7.5,91.2,98.7,51.8,48.2,19:03,16:39,20,71,-6.9,189,46.6
705,Bryan Rust\rustbr01,25,PIT,RW,68,1024,810,55.8,5.2,762,599,56.0,4.2,8.2,91.1,99.4,53.9,46.1,16:03,13:52,31,32,4.6,216,56.9
706,Jan Rutta\ruttaja02,27,CHI,D,55,929,930,50.0,-3.3,641,722,47.0,-5.8,8.6,91.8,100.4,50.4,49.6,19:20,16:35,12,37,-5.4,166,41.0
707,Bobby Ryan\ryanbo01,30,OTT,RW,60,836,844,49.8,3.5,597,612,49.4,2.5,9.1,88.6,97.7,52.6,47.4,16:24,13:36,23,36,3.1,222,46.8
708,Derek Ryan\ryande01,31,CAR,C,79,1133,849,57.2,3.3,828,656,55.8,3.1,8.0,87.6,95.6,59.7,40.3,15:37,13:13,54,46,7.7,245,54.3
709,Joakim Ryan\ryanjo02,24,SJS,D,62,1107,978,53.1,3.0,806,692,53.8,2.4,7.1,93.8,100.9,55.4,44.6,16:45,16:17,14,16,7.9,160,49.4
710,Kerby Rychel\rycheke01,23,MTL,LW,3,32,29,52.5,-4.1,20,24,45.5,-11.1,7.1,81.0,88.1,61.9,38.1,10:34,10:18,1,0,-1.5,8,75.0
711,Brandon Saad\saadbr01,25,CHI,LW,80,1350,1018,57.0,5.9,932,784,54.3,4.3,7.2,90.3,97.5,60.9,39.1,17:31,13:38,45,15,6.3,387,59.9
712,Miikka Salomaki\salommi01,24,NSH,RW,57,491,478,50.7,-0.8,359,346,50.9,-0.1,5.9,90.7,96.6,30.7,69.3,10:14,9:58,13,8,-4.0,103,46.6
713,Travis Sanheim\sanhetr01,21,PHI,D,48,702,609,53.5,6.1,529,463,53.3,5.4,6.3,90.5,96.8,56.6,43.4,15:30,14:45,8,34,4.6,146,47.3
714,Steven Santini\santist01,22,NJD,D,36,428,686,38.4,-13.0,328,480,40.6,-10.9,8.4,93.6,101.9,27.5,72.5,20:16,17:01,4,13,-5.7,86,65.1
715,Ashton Sautner\sautnas01,23,VAN,D,5,50,61,45.0,3.1,43,46,48.3,4.4,16.7,97.0,113.6,43.2,56.8,13:22,13:18,0,0,0.4,5,60.0
716,David Savard\savarda01,27,CBJ,D,80,1329,1369,49.3,-3.3,1013,998,50.4,-3.2,9.0,91.4,100.3,44.8,55.2,19:20,16:53,24,26,-1.9,268,53.7
717,Luca Sbisa\sbisalu01,28,VEG,D,30,457,586,43.8,-9.1,350,438,44.4,-8.3,10.8,93.0,103.8,41.8,58.2,19:31,16:35,12,16,-3.5,62,41.9
718,Marco Scandella\scandma01,27,BUF,D,80,1373,1494,47.9,0.4,1058,1165,47.6,0.0,7.5,90.9,98.4,50.0,50.0,23:23,19:07,24,40,-7.9,300,45.0
719,Colton Sceviour\scevico01,28,FLA,RW,74,715,814,46.8,-3.9,561,605,48.1,-3.2,7.1,93.7,100.8,46.4,53.6,13:19,10:52,29,28,-3.1,208,64.9
720,Tim Schaller\schalti01,27,BOS,C,80,824,820,50.1,-3.8,624,595,51.2,-2.5,5.7,91.7,97.4,35.1,64.9,13:17,11:18,29,23,5.4,204,63.2
721,Mark Scheifele\scheima01,24,WPG,C,59,985,927,51.5,0.0,751,693,52.0,0.4,9.9,92.3,102.2,53.9,46.1,20:44,16:26,46,33,11.9,210,57.6
722,Brayden Schenn\schenbr01,26,STL,C,80,1379,1146,54.6,4.4,1029,835,55.2,3.6,9.9,91.1,101.1,63.6,36.4,19:43,15:56,56,42,8.7,345,58.8
723,Luke Schenn\schenlu01,28,ARI,D,63,817,988,45.3,-4.0,584,727,44.5,-3.7,5.6,92.7,98.3,39.9,60.1,16:20,14:21,14,30,-7.7,155,37.4
724,Nikita Scherbak\scherni01,22,MTL,RW,26,276,301,47.8,-2.9,179,202,47.0,-3.5,4.8,92.4,97.2,56.8,43.2,13:23,11:42,13,9,-0.7,85,45.9
725,David Schlemko\schleda01,30,MTL,D,37,569,582,49.4,-2.2,395,397,49.9,-1.9,8.3,92.7,101.0,53.5,46.5,18:04,15:44,13,27,5.5,89,42.7
726,Jordan Schmaltz\schmajo01,24,STL,D,13,116,112,50.9,4.9,76,74,50.7,4.0,5.1,94.2,99.3,60.6,39.4,10:58,10:34,0,4,0.7,13,38.5
727,Nick Schmaltz\schmani01,21,CHI,LW,76,1130,1036,52.2,-1.6,787,781,50.2,-2.2,8.7,91.4,100.1,64.3,35.7,18:12,14:10,86,30,-0.4,212,54.7
728,Nate Schmidt\schmina01,26,VEG,D,76,1435,1415,50.4,-1.5,1039,1031,50.2,-2.0,10.4,92.1,102.5,46.7,53.3,22:14,18:11,57,57,2.7,255,40.4
729,Jordan Schroeder\schrojo01,27,CBJ,LW,21,143,158,47.5,-2.8,110,120,47.8,-4.8,2.5,93.1,95.6,59.7,40.3,7:29,7:21,5,2,-2.0,31,64.5
730,Justin Schultz\schulju01,27,PIT,D,62,1075,1047,50.7,-2.0,818,742,52.4,-0.4,10.8,92.1,102.9,55.5,44.5,19:30,17:09,15,25,6.8,233,46.8
731,Jaden Schwartz\schwaja01,25,STL,LW,60,1044,788,57.0,6.8,787,572,57.9,7.0,10.0,91.7,101.7,66.8,33.2,19:25,15:29,43,17,10.3,257,58.0
732,Brent Seabrook\seabrbr01,32,CHI,D,79,1409,1294,52.1,-1.0,993,946,51.2,0.1,7.6,91.9,99.6,56.4,43.6,20:14,15:58,25,68,0.3,300,44.3
733,Daniel Sedin\sedinda01,37,VAN,LW,80,965,848,53.2,7.1,728,656,52.6,6.5,7.0,88.9,96.0,73.9,26.1,15:14,12:19,16,36,3.6,302,60.9
734,Henrik Sedin\sedinhe01,37,VAN,C,81,962,886,52.1,5.5,722,687,51.2,4.6,7.5,88.6,96.1,73.8,26.2,15:30,12:35,10,28,2.9,121,52.9
735,Lukas Sedlak\sedlalu01,24,CBJ,LW,53,391,403,49.2,-3.0,307,303,50.3,-3.3,7.8,91.3,99.1,38.2,61.8,9:24,8:43,13,10,0.4,94,53.2
736,Nick Seeler\seeleni01,24,MIN,D,21,261,262,49.9,0.0,198,185,51.7,1.1,9.8,95.1,104.9,48.3,51.7,14:09,13:35,2,6,4.5,35,40.0
